Subject,RPPG PR,GT PR,RPPG MeanNN,GT MeanNN,RPPG SDNN,GT SDNN,RPPG RMSSD,GT RMSSD,RPPG pNN50,GT pNN50,RPPG LF,GT LF,RPPG HF,GT HF,RPPG LF/HF,GT LF/HF
s41,93.34076788274653,96.5043782837128,622.718253968254,619.5746527777778,121.41657416731475,48.7107662177841,166.2653681667925,42.42647103225616,71.875,11.805555555555555,0.04210677528852857,0.030350534301043505,0.08279300755043063,0.02220340157711169,0.5085788828589252,1.3669317377176236
s42,74.82105932877366,70.34193998604327,791.3152926368786,844.9292452830189,182.1353726105889,149.72603636410227,223.67544019517504,199.59102234230014,76.65198237885463,55.188679245283026,0.01157395857065914,0.005201219730629563,0.04945252467628832,0.030471897311399623,0.23404181376827995,0.1706890672896752
s43,94.86241450612374,95.38703752295984,625.8835241413639,629.0162852112676,131.4578859102227,34.9538171609308,176.74086707515315,34.9755798831491,73.86759581881533,5.28169014084507,0.04373995057982263,0.03161958809183097,0.09054679212839123,0.04313293217896138,0.4830646072784265,0.7330730023323991
s44,71.13549618320612,63.16563128882667,835.6146179401994,949.8836436170212,310.4753536083803,162.5842958296499,392.6416449856971,183.6766207751684,90.69767441860465,64.36170212765957,0.057139915838501115,0.009415937976652668,0.1124022569031342,0.018160134439499463,0.5083520332491459,0.5184949488133962
s45,80.17571884984025,77.25682295311407,745.2380952380952,773.2683982683983,180.06093270638112,128.36719447177202,208.33949553975367,165.42042841979026,80.41666666666667,49.78354978354979,0.03090498671000667,0.039914911801336855,0.10786354906927922,0.05011955213493467,0.28651928271113014,0.7963940239105826
s46,76.99665231946436,74.61183236037292,779.2546583850931,800.5719866071429,137.2413801630389,65.24637718551045,185.01957495245426,66.12590437809246,80.0,38.392857142857146,0.021035667845984585,0.013950178241719038,0.09510735131526675,0.036885332759209605,0.221178148219631,0.3782039417344264
s47,77.55395683453237,78.09941264136056,760.4863221884498,774.9320652173913,145.2730026494055,64.24451632908581,191.444425564025,44.793200525512546,72.76595744680851,20.869565217391305,0.04368139068504815,0.03675959896183293,0.09044035942071435,0.01518128166503799,0.48298559365348365,2.421376519644525
s48,71.02099695464017,57.668733083035015,836.8879946344737,1005.3546348314607,199.3052338704249,504.29893986771583,273.1115366224441,511.7462936532092,78.40375586854461,79.7752808988764,0.03745325863032313,0.008166493471925926,0.07521301881806382,0.008509089125579648,0.497962443455707,0.9597376818367284
s49,96.12205975842339,101.07905517301491,609.3946731234867,593.5947847682119,111.02122204515805,38.32590599454054,135.62858528827815,30.620740940537484,66.77966101694915,5.629139072847682,0.038617006554901925,0.03081856061100311,0.05917658424016852,0.026962004643514576,0.6525724161126735,1.143036692504101
s50,97.4641148325359,103.25994256374554,613.5029354207437,581.0578478964401,170.33508904790833,28.0289167034858,220.06126058947967,20.066726149938443,82.1917808219178,0.9708737864077669,0.042692451057422726,0.035824899141506474,0.028259694692410745,0.01002397607063623,1.510718764732018,3.5739210557824723
s51,63.412685732545135,62.98926795218568,946.182917611489,957.6370320855615,110.68489958946745,92.8807597941277,135.4460635337592,120.22005857259813,70.37037037037037,59.35828877005348,0.03186952162668897,0.0214142919070111,0.04855766991235182,0.05434152732331269,0.6563231243223676,0.39406864256140073
s52,86.08486789431547,78.18928602639168,683.6343732895457,760.8377659574468,136.0304802190543,201.97101014476803,177.47575950515306,139.38421623547237,74.71264367816092,55.319148936170215,0.054070809600515066,0.0036160269691229443,0.09421085309042967,0.011685068986280071,0.5739339771036188,0.30945704927961254
s53,84.48083956113848,64.83422272767037,696.4562569213732,930.2571614583334,173.16639087529688,96.29072979329644,184.68307363590262,102.51610060623577,71.70542635658916,44.79166666666667,0.0058083803283842566,0.029928962192734915,0.010985895548075731,0.032494909323564865,0.5287125025871597,0.9210354118769871
s54,90.78002871271336,85.8625207441698,646.6219700876742,690.6973938223938,128.01166892163977,162.74693579875188,179.10685773918425,209.0595687416896,75.81227436823104,40.92664092664093,0.04170565525022538,0.02932864360176651,0.0758646838856055,0.07276027811018437,0.5497374155425511,0.4030859194539188
s55,54.21334632245494,86.33725490196079,1086.2433862433863,684.3392175572519,513.8859949359653,191.6259566852436,673.7269277141438,254.1763088193672,89.50617283950618,65.2671755725191,0.05038603118766976,0.026008397062205344,0.06511044331727625,0.04517010649492069,0.7738548321986383,0.5757878181033279
s56,77.24895397489539,72.74378000872981,776.7095463777929,817.2802511415525,340.43242077746004,312.57614876960537,421.39109714626176,402.4945509346805,86.7298578199052,84.47488584474885,0.040827882276942326,0.05338791702135344,0.04907831771631055,0.08741663339233288,0.8318924563172976,0.6107295024934691
